Z,PDF,CDF
0.50,0.352,0.692
0.51,0.350,0.695
0.52,0.349,0.699
0.53,0.347,0.702
0.54,0.345,0.705
0.55,0.343,0.709
0.56,0.341,0.712
0.57,0.339,0.716
0.58,0.337,0.719
0.59,0.335,0.722
0.60,0.333,0.726
0.61,0.331,0.729
0.62,0.329,0.732
0.63,0.327,0.736
0.64,0.325,0.739
0.65,0.323,0.742
0.66,0.321,0.745
0.67,0.319,0.749
0.68,0.317,0.752
0.69,0.314,0.755
0.70,0.312,0.758
0.71,0.310,0.761
0.72,0.308,0.764
0.73,0.306,0.767
0.74,0.303,0.770
0.75,0.301,0.773
0.76,0.299,0.776
0.77,0.297,0.779
0.78,0.294,0.782
0.79,0.292,0.785
0.80,0.290,0.788
0.81,0.287,0.791
0.82,0.285,0.794
0.83,0.283,0.797
0.84,0.280,0.800
0.85,0.278,0.802
0.86,0.276,0.805
0.87,0.273,0.808
0.88,0.271,0.811
0.89,0.269,0.813
0.90,0.266,0.816
0.91,0.264,0.819
0.92,0.261,0.821
0.93,0.259,0.824
0.94,0.257,0.826
0.95,0.254,0.829
0.96,0.252,0.832
0.97,0.249,0.834
0.98,0.247,0.837
0.99,0.244,0.839
1.00,0.242,0.841
1.01,0.240,0.844
1.02,0.237,0.846
1.03,0.235,0.849
1.04,0.232,0.851
1.05,0.230,0.853
1.06,0.228,0.855
1.07,0.225,0.858
1.08,0.223,0.860
1.09,0.220,0.862
1.10,0.218,0.864
1.11,0.216,0.867
1.12,0.213,0.869
1.13,0.211,0.871
1.14,0.208,0.873
1.15,0.206,0.875
1.16,0.204,0.877
1.17,0.201,0.879
1.18,0.199,0.881
1.19,0.197,0.883
1.20,0.194,0.885
1.21,0.192,0.887
1.22,0.190,0.889
1.23,0.187,0.891
1.24,0.185,0.893
1.25,0.183,0.894
1.26,0.180,0.896
1.27,0.178,0.898
1.28,0.176,0.900
1.29,0.174,0.902
1.30,0.171,0.903
1.31,0.169,0.905
1.32,0.167,0.907
1.33,0.165,0.908
1.34,0.163,0.910
1.35,0.160,0.912
1.36,0.158,0.913
1.37,0.156,0.915
1.38,0.154,0.916
1.39,0.152,0.918
1.40,0.150,0.919
1.41,0.148,0.921
1.42,0.146,0.922
1.43,0.144,0.924
1.44,0.142,0.925
1.45,0.139,0.927
1.46,0.137,0.928
1.47,0.135,0.929
1.48,0.133,0.931
1.49,0.132,0.932
1.50,0.130,0.933
1.51,0.128,0.935
1.52,0.126,0.936
1.53,0.124,0.937
1.54,0.122,0.938
1.55,0.120,0.939
1.56,0.118,0.941
1.57,0.116,0.942
1.58,0.115,0.943
1.59,0.113,0.944
1.60,0.111,0.945
1.61,0.109,0.946
1.62,0.107,0.947
1.63,0.106,0.948
1.64,0.104,0.950
1.65,0.102,0.951
1.66,0.101,0.952
1.67,0.099,0.953
1.68,0.097,0.954
1.69,0.096,0.955
1.70,0.094,0.955
1.71,0.093,0.956
1.72,0.091,0.957
1.73,0.089,0.958
1.74,0.088,0.959
1.75,0.086,0.960
1.76,0.085,0.961
1.77,0.083,0.962
1.78,0.082,0.963
1.79,0.080,0.963
